	race	current_location	sex	birthdate	blood_group	ssn	job	name	residence
2666	White	(Decimal('-83.813660'), Decimal('107.899422'))	M	1990/04/22	O+	243-71-0253	Retail manager	Mark Long	"PSC 6587, Box 7862
APO AP 58781"
2667	White	(Decimal('11.9839075'), Decimal('88.546164'))	M	07 Jun 1999	AB-	711-74-9112	Games developer	Thomas Davis	"58822 Briggs Junction Apt. 424
Lake Teresaberg, NC 51892"
2668	White	(Decimal('-51.7256065'), Decimal('140.529267'))	M	1956/10/19	B+	186-17-4078	Toxicologist	Phillip Copeland	"405 Williams Wells Apt. 378
Turnerland, SD 92739"
2669	Black	(Decimal('-58.266375'), Decimal('-134.284806'))	M	1914-08-22	O-	074-69-4303	Administrator, arts	Timothy Chaney	"6481 Angel Square Suite 383
Juliabury, NM 21685"
2670	White	(Decimal('50.898798'), Decimal('-87.590289'))	M	24 Oct 1946	B-	739-39-9759	Buyer, industrial	Christopher Vazquez	"27607 Joseph Isle Suite 068
South Michaeltown, MT 89690"
2671	White	(Decimal('-36.462890'), Decimal('39.955283'))	M	06 Apr 2002	A-	662-47-7383	Midwife	Spencer Brown	"493 Humphrey Vista Suite 418
New Victoriaport, MA 26226"
2672	White	(Decimal('11.015750'), Decimal('-54.950551'))	M	1952/05/14	O+	710-87-3486	Dance movement psychotherapist	Christopher Salazar	"94373 Albert Camp
Port Allisonhaven, DC 29281"
2673	White	(Decimal('-22.4955915'), Decimal('-161.497070'))	M	1912/06/28	A-	092-82-8236	Hydrologist	Daniel Wolf	"24708 Justin Green Suite 965
Michaelmouth, SC 58458"
2674	Black	(Decimal('-44.088073'), Decimal('-96.706110'))	F	1934/03/19	B-	067-14-2770	Housing manager/officer	Brandy Christensen	"88866 Farrell Passage
Hintonchester, SC 70275"
2675	White	(Decimal('-49.085339'), Decimal('-77.779366'))	F	03/23/1973, 00:00:00	B-	163-29-5295	Occupational psychologist	Kimberly Gutierrez	"36303 Brown Dam Suite 964
Thompsonmouth, WY 89726"
2676	Asian	(Decimal('17.565609'), Decimal('112.147432'))	M	1909/01/25	B+	779-32-1975	Youth worker	Jose Powell	"17002 Victor Knolls
Port Christinamouth, TN 68857"
2677	White	(Decimal('76.234747'), Decimal('20.172673'))	F	1914/10/13	B+	608-89-1265	Higher education careers adviser	Michelle Price	"8943 Carroll Center Apt. 728
South Ruben, MI 66279"
2678	Black	(Decimal('-31.514909'), Decimal('67.375798'))	F	02/05/1967, 00:00:00	B-	125-48-5824	Psychiatrist	Christine Frazier	"70223 Danielle Avenue
Julieberg, RI 15519"
2679	White	(Decimal('-14.214203'), Decimal('61.606673'))	F	01/29/1959, 00:00:00	O-	373-25-1298	Television production assistant	Ariel Jordan	"69294 Joshua Valley
South Danielfurt, NM 47951"
2680	White	(Decimal('-88.5093015'), Decimal('68.445089'))	M	02 Jan 1918	O-	600-85-0568	Engineer, production	Robert Kane	"349 Tonya Isle
Seanmouth, WI 67200"
2681	Asian	(Decimal('-5.0359965'), Decimal('175.561662'))	F	07/04/1918, 00:00:00	B+	505-87-0739	Optometrist	Tina Beasley	"61158 Martinez Ramp
West Heather, AR 77315"
2682	Black	(Decimal('56.925852'), Decimal('-128.064671'))	M	1940-07-07	AB+	183-65-7067	Politician's assistant	Joseph Green	"3034 Davis Wells Suite 702
Danielshire, MA 70661"
2683	Black	(Decimal('-45.276495'), Decimal('-161.151935'))	F	1963/09/24	B-	620-14-0226	Editor, film/video	Haley Nguyen	"29358 Amanda Springs Suite 708
West Jerry, CT 45962"
2684	black	(Decimal('12.5254685'), Decimal('72.257498'))	F	1937/10/21	AB-	227-91-0440	Editor, magazine features	Ashley Barnes	"9206 Jerry Trafficway Apt. 988
West Barbaraside, HI 66410"
2685	Hawaiian	(Decimal('73.1935325'), Decimal('150.137010'))	M	2009-07-25	B+	463-51-7293	Education officer, community	Bobby Adams	"83252 Dana Courts Suite 634
Kimberlyburgh, MI 71167"
2686	black	(Decimal('23.173048'), Decimal('-38.658190'))	F	1947/05/20	AB-	355-12-9000	Seismic interpreter	Angelica Smith	"968 Zachary Locks
New Raymondhaven, KS 99631"
2687	White	(Decimal('81.462470'), Decimal('115.974758'))	M	30 May 1966	A+	898-44-2380	Computer games developer	Thomas Townsend	"5422 Andrew Estates Apt. 110
Lake Michaelborough, ND 34916"
2688	White	(Decimal('40.8995875'), Decimal('-99.946306'))	F	1973-10-29	B+	654-62-4687	Industrial/product designer	Jessica Hughes	"5948 Hood Lodge
South Erica, MN 17830"
2689	White	(Decimal('43.228111'), Decimal('28.139311'))	F	1940-02-21	AB+	180-33-8014	Music tutor	Mary Lee	"87255 Parks Square Suite 766
Charlesshire, KY 36416"
2690	Indian	(Decimal('-42.1014095'), Decimal('-10.401115'))	F	1940-04-03	AB-	525-49-6342	Dramatherapist	Heather Freeman	"686 David Orchard Apt. 644
Lake Stephen, NM 35816"
2691	white	(Decimal('-45.0452485'), Decimal('-70.102151'))	M	04/27/1983, 00:00:00	O+	279-88-4067	Land/geomatics surveyor	Thomas Reid	"Unit 4172 Box 6227
DPO AA 35561"
2692	Hawaiian	(Decimal('-67.915422'), Decimal('129.047148'))	F	1931/01/13	AB-	093-01-4453	Operational researcher	Ashley Robertson	"89882 Stanton Freeway
Lake Michelle, SD 48855"
2693	Black	(Decimal('-79.566567'), Decimal('-164.901421'))	M	04/13/1981, 00:00:00	B-	530-97-5848	Publishing copy	Jacob Jackson	"4230 Serrano Causeway
New Emmafort, UT 15061"
2694	Black	(Decimal('87.081182'), Decimal('11.607687'))	F	1912-07-20	AB+	718-22-1250	Nurse, mental health	Jennifer Kelly	"583 Sharon Squares Suite 057
Coleview, UT 29700"
2695	White	(Decimal('-78.1570215'), Decimal('-124.087480'))	M	1922/11/24	A+	678-92-1135	Leisure centre manager	Antonio Howard	"7934 Santiago Trafficway
South Amanda, AL 28933"
2696	White	(Decimal('-73.712305'), Decimal('114.993565'))	M	08 Sep 1940	B-	696-79-6461	Industrial buyer	Mr. Robert Palmer PhD	"5020 Elizabeth Fields Apt. 221
Beardborough, NY 39623"
2697	White	(Decimal('87.069730'), Decimal('6.847875'))	F	1950/10/12	O-	575-06-4229	Journalist, broadcasting	Jennifer Edwards	"68041 Laura Villages
Kennedyville, NV 51470"
2698	White	(Decimal('31.729456'), Decimal('70.676093'))	M	2016/05/01	O-	344-08-8964	Maintenance engineer	David Lane	"82839 Teresa Vista
Christopherfurt, IL 67598"
2699	White	(Decimal('0.866155'), Decimal('-33.535546'))	M	25 Aug 1966	A+	849-97-5150	Industrial/product designer	John Duke	"4483 Jacob Court Apt. 560
Port Jacob, NM 34768"
2700	White	(Decimal('34.320635'), Decimal('125.860095'))	F	22 Jun 2003	A+	440-50-8108	Systems developer	Brittney Clark	"USS Collins
FPO AE 41161"
2701	White	(Decimal('-24.700930'), Decimal('144.551056'))	F	08/03/1976, 00:00:00	O+	818-64-2960	Historic buildings inspector/conservation officer	Savannah Moyer	"64654 Castillo Mills
Maxwellchester, CT 76352"
2702	White	(Decimal('77.135044'), Decimal('114.040717'))	M	01/23/1966, 00:00:00	AB-	697-49-2443	Sales promotion account executive	Kyle Ruiz	"0255 English Fort Suite 172
Port David, SD 50573"
2703	Black	(Decimal('52.9078145'), Decimal('-164.358362'))	F	1932-04-29	A+	607-20-1027	Accounting technician	Kathleen Hayden	"6926 Gabriel Haven Apt. 526
Jessicamouth, ME 85893"
2704	White	(Decimal('85.4232105'), Decimal('-156.327377'))	F	25 Jan 1979	B-	245-96-4746	Data scientist	Emily Mccall	"5658 Nicole Dale Suite 224
Ibarrabury, VT 94098"
2705	White	(Decimal('30.062154'), Decimal('53.136133'))	M	05/17/1990, 00:00:00	B+	272-02-6830	Passenger transport manager	Robert Oneal	"8536 Ronald Crossing
North Mark, AK 35988"
2706	Asian	(Decimal('-30.629423'), Decimal('-162.196494'))	F	1951/05/21	A+	304-41-3114	Geochemist	Cynthia Romero	"5488 Reese Estates Apt. 119
Lindaberg, ID 06052"
2707	Black	(Decimal('-81.747541'), Decimal('-86.656801'))	F	1918-05-28	O-	105-42-2648	Environmental education officer	Kellie Montes	"92626 Michelle Well
Kington, OR 39920"
2708	White	(Decimal('61.861809'), Decimal('118.595829'))	F	03/11/1949, 00:00:00	A+	243-29-6224	Engineer, maintenance (IT)	Jodi Watson	"5929 Erica Burg Suite 535
Erikton, ID 50259"
2709	black	(Decimal('26.2494555'), Decimal('-55.827711'))	M	04/16/1997, 00:00:00	B+	159-96-8135	Education officer, museum	Keith Fisher	"336 Smith Path Suite 836
Zimmermanhaven, IA 94102"
2710	White	(Decimal('-50.465726'), Decimal('24.035699'))	F	1924/04/14	A-	078-42-9721	Dancer	Dana Coleman	"2958 Joseph Street
New Scott, WA 52137"
2711	White	(Decimal('-16.900348'), Decimal('80.801477'))	F	06/21/2019, 00:00:00	B-	116-75-1344	Music tutor	Judy Patel	"28808 Raymond Summit Apt. 437
Devonville, MI 35702"
2712	White	(Decimal('11.126223'), Decimal('84.228510'))	M	01 Sep 1999	B+	043-13-4092	Freight forwarder	Timothy Brown	"565 Matthew Haven Suite 930
Davidfort, NM 34197"
2713	White	(Decimal('-64.9641235'), Decimal('-156.753709'))	M	18 Oct 1978	A-	747-24-1400	Animal nutritionist	Kyle Lane	"10040 James Landing
West Crystalborough, ME 79691"
2714	Asian	(Decimal('28.2655295'), Decimal('-109.310428'))	F	1934-04-08	A-	223-65-5802	Nutritional therapist	Lauren Carr	"751 Mckinney Ranch Apt. 879
West Jasmine, ID 10096"
2715	Black	(Decimal('40.695894'), Decimal('89.671870'))	F	23 Aug 1938	O+	671-40-5918	Restaurant manager	Elizabeth Jimenez	"Unit 6697 Box 2914
DPO AE 02198"
2716	White	(Decimal('-74.657020'), Decimal('39.212238'))	F	2009/08/01	B-	490-68-2652	Engineer, civil (contracting)	Kristina Collins	"655 Williams Coves Apt. 888
Williamston, OK 49182"
2717	White	(Decimal('14.462602'), Decimal('176.521255'))	M	10/02/1963, 00:00:00	O+	538-67-9789	Therapist, music	Brian Cole	"PSC 7944, Box 4694
APO AA 90941"
2718	Asian	(Decimal('-79.4483065'), Decimal('-88.255146'))	M	12/10/1924, 00:00:00	AB-	571-67-4842	Teacher, music	Scott Wells	"22038 Robert Corner Suite 267
Port Josephside, WA 62195"
2719	Indian	(Decimal('66.520492'), Decimal('-96.395690'))	M	1973-12-24	A+	529-19-9210	Psychologist, occupational	Brandon Smith	"732 Pamela Unions
Mckinneyton, TN 42472"
2720	Asian	(Decimal('-24.802998'), Decimal('54.675234'))	M	1935-01-15	B-	725-04-5111	Jewellery designer	Joshua Perkins	"636 Smith Locks Suite 483
Lucastown, GA 99363"
2721	Asian	(Decimal('60.768751'), Decimal('-98.195080'))	M	05/06/2000, 00:00:00	B-	587-55-9359	Environmental consultant	Austin Jones	"8763 Smith Tunnel
East Adrianfort, TN 94104"
2722	White	(Decimal('15.102135'), Decimal('97.804469'))	M	1988/07/17	AB+	139-69-0359	Amenity horticulturist	Justin Nash	"4557 Wolf View Suite 710
East Terri, VT 28611"
2723	White	(Decimal('-27.6964505'), Decimal('47.954019'))	M	1947/05/28	A-	718-82-6307	Financial planner	Vernon Gonzalez	"6467 Davis Estates
Jamesberg, GA 06850"
2724	Black	(Decimal('-12.7014385'), Decimal('56.039839'))	M	30 Mar 2014	O+	489-30-5173	Advertising copywriter	Corey Fisher	"66904 Fitzpatrick Club Apt. 462
Madisonburgh, AZ 26956"
2725	Asian	(Decimal('-27.7295565'), Decimal('-5.376638'))	F	1992-05-08	B+	549-01-4699	Graphic designer	Tracy Sawyer	"933 Lisa Course
South Michaelville, CO 96682"
2726	White	(Decimal('29.801275'), Decimal('-19.811762'))	M	1913-03-11	B+	513-27-4612	Police officer	Albert Yang	"9653 Donald Rue
Matthewville, SC 54198"
2727	Indian	(Decimal('-34.6869755'), Decimal('153.464983'))	F	1925-01-07	AB+	494-88-7292	Plant breeder/geneticist	Heather King	"PSC 2944, Box 8946
APO AP 13629"
2728	Black	(Decimal('55.7132705'), Decimal('-166.366774'))	F	02/17/1906, 00:00:00	O-	794-24-5059	Translator	Amanda Jones	"Unit 2779 Box 2334
DPO AP 49537"
2729	Black	(Decimal('-61.7343665'), Decimal('136.193429'))	M	06/10/1919, 00:00:00	B-	620-52-2021	Automotive engineer	Scott Miranda	"945 Wright Well Suite 367
New Luis, ND 82375"
2730	White	(Decimal('87.713086'), Decimal('69.353262'))	M	10/23/1928, 00:00:00	AB+	397-07-9153	Jewellery designer	Christopher Myers	"574 Macias Trafficway
Vincentville, NE 89545"
2731	White	(Decimal('-42.6472445'), Decimal('91.963316'))	F	03/24/1950, 00:00:00	AB-	587-38-1729	Private music teacher	Tracy Bridges	"2771 Jessica Prairie Apt. 129
Garytown, SC 02869"
2732	White	(Decimal('-70.9055565'), Decimal('-129.050812'))	F	10/30/1906, 00:00:00	B+	465-88-9441	Mental health nurse	Beth Peterson	"795 Harrington Pike
New Michael, VT 68952"
2733	Asian	(Decimal('67.108753'), Decimal('23.607733'))	M	2019/03/31	O-	644-32-4036	Logistics and distribution manager	Terry Black	"Unit 3467 Box 1620
DPO AA 92123"
2734	White	(Decimal('-8.160727'), Decimal('-114.422442'))	F	05 Jan 2002	AB-	480-75-6871	Scientist, research (physical sciences)	Ellen Barnes	"USCGC Knight
FPO AA 90349"
2735	White	(Decimal('-62.8356475'), Decimal('-3.686567'))	F	2012-04-04	A+	852-19-5942	Biochemist, clinical	Angela Miranda	"481 Villarreal Squares Suite 049
East Bryan, WI 37939"
2736	Black	(Decimal('-8.2090935'), Decimal('165.356868'))	M	2017-12-01	O-	116-28-2033	Dramatherapist	Donald Freeman	"57976 Kevin Meadow
Vasquezfort, WI 57275"
2737	White	(Decimal('71.5534875'), Decimal('114.343159'))	F	02/27/1928, 00:00:00	O-	836-35-4301	Administrator, charities/voluntary organisations	Alicia Ruiz	"27599 Carey Road Suite 296
Lake Carla, NY 01858"
2738	Black	(Decimal('-21.146191'), Decimal('27.117011'))	M	11/06/1953, 00:00:00	B+	870-91-4670	Animal nutritionist	Stephen Martinez	"Unit 9240 Box 2414
DPO AA 24863"
2739	Black	(Decimal('81.5690895'), Decimal('156.675775'))	M	04/06/1952, 00:00:00	O+	035-37-9305	Proofreader	Joshua Love	"580 Hall Route Apt. 854
New Taylorton, NY 41317"
2740	Black	(Decimal('-46.259015'), Decimal('38.595868'))	M	1970/08/15	B+	525-99-6279	Environmental health practitioner	Kevin Thomas	"06930 Quinn Views
Ginaland, MI 24491"
2741	White	(Decimal('67.2490135'), Decimal('-127.240655'))	F	1947/11/14	O+	291-83-0959	Teacher, music	Rachael Christensen DDS	"552 Hayes Forge
Lake Kathleenburgh, AK 72225"
2742	White	(Decimal('-22.7209995'), Decimal('-124.429380'))	F	2005/03/29	A+	301-91-9989	Best boy	Tracy Scott	"6149 Joseph Point
Adamburgh, LA 44752"
2743	White	(Decimal('83.203819'), Decimal('-92.542171'))	M	1954/11/19	B+	487-37-9659	Doctor, general practice	Brian Chan	"1658 Jacob Ports Apt. 092
Josephchester, LA 46056"
2744	Asian	(Decimal('-18.401322'), Decimal('2.988470'))	F	1998/09/30	A+	803-54-0963	Senior tax professional/tax inspector	Tina Adkins	"USS Fox
FPO AA 05503"
2745	White	(Decimal('-64.3051335'), Decimal('-77.887885'))	F	1961/11/06	B+	551-90-0763	Television/film/video producer	Jessica Ross	"301 Daniel Loop Suite 370
North Caseyport, WY 71637"
2746	Black	(Decimal('-79.038855'), Decimal('128.791243'))	F	2002-12-04	B-	127-94-5544	Barrister's clerk	Tracy Gilbert	"9128 Tony Extension Apt. 764
Burkeland, MD 67876"
2747	White	(Decimal('-53.460585'), Decimal('6.348414'))	M	09/12/1972, 00:00:00	A+	162-48-2182	Clinical molecular geneticist	Zachary French	"922 David Flat
Alexanderport, NH 61197"
2748	White	(Decimal('-44.3406875'), Decimal('-123.565934'))	F	14 Jul 1972	B+	424-86-5446	Forensic scientist	Tanya Kelly	"846 Benton Station Suite 009
Brianstad, RI 77645"
2749	White	(Decimal('-68.848005'), Decimal('149.971250'))	F	1905/12/24	O+	026-64-0528	Psychotherapist, dance movement	Denise Spencer	"62596 Jennifer Haven Apt. 067
Jennifertown, NC 33519"
2750	Asian	(Decimal('-28.1673425'), Decimal('88.824123'))	F	1969-08-13	A+	850-39-4787	Lighting technician, broadcasting/film/video	Kathleen Chambers	"4333 Hernandez Loaf Apt. 758
Gregoryhaven, ID 80667"
2751	White	(Decimal('67.4656085'), Decimal('26.824629'))	F	03/27/1942, 00:00:00	O-	685-35-1524	Ophthalmologist	Kimberly Warner	"03510 Willis Lake Suite 252
Leeland, ID 94016"
2752	White	(Decimal('-41.2211335'), Decimal('171.745349'))	M	1910/03/28	B+	874-62-7222	Runner, broadcasting/film/video	Charles Norman	"055 Samuel Trafficway Apt. 659
Harrisberg, GA 65757"
2753	white	(Decimal('54.669536'), Decimal('43.821014'))	F	1911-10-09	B-	626-15-8084	Architectural technologist	Christine Roberts	"5379 Deborah Lights
Natalieside, NC 07949"
2754	White	(Decimal('1.131306'), Decimal('115.883884'))	M	1970/05/05	B-	156-38-8703	Magazine features editor	Daniel Miller	"115 Daniel Plain
East Corystad, LA 93648"
2755	Black	(Decimal('53.951781'), Decimal('162.251431'))	F	1967-07-23	AB+	673-23-8134	Theatre stage manager	Jaime Hansen	"187 Kyle Burg Suite 443
East John, AL 68359"
2756	White	(Decimal('28.4930635'), Decimal('-97.293849'))	M	2018-11-10	AB+	831-18-3681	Risk analyst	Justin Morris	"PSC 4094, Box 7839
APO AE 35999"
2757	Hawaiian	(Decimal('28.7944315'), Decimal('158.962112'))	M	1937/06/19	A+	075-46-6907	Rural practice surveyor	Samuel Brooks	"7310 Samantha Ports
Bairdland, NJ 87889"
2758	Indian	(Decimal('-45.2549775'), Decimal('-24.912834'))	M	1960/04/03	O-	754-68-6390	Chief Operating Officer	Thomas Hanson	"33962 Oconnor Dam Suite 382
Port Melinda, NJ 03848"
2759	White	(Decimal('-34.8767035'), Decimal('-143.660222'))	M	03/21/1922, 00:00:00	AB+	106-49-4383	Agricultural engineer	William Brandt	"9151 Jennifer Court
Alexisville, UT 66758"
2760	Black	(Decimal('-34.3661305'), Decimal('-172.354619'))	M	06 Sep 1953	B-	830-95-0923	Clinical research associate	Joshua Nelson	"3780 Clements Street Suite 435
Joneston, MI 29304"
2761	White	(Decimal('-6.339408'), Decimal('137.925102'))	F	04 Nov 1944	B-	506-67-3035	Manufacturing systems engineer	Amanda Clements	"212 Taylor Creek
Lewisstad, UT 57800"
2762	White	(Decimal('-81.102891'), Decimal('164.271297'))	F	25 Jun 1921	B-	342-60-5568	Insurance underwriter	Lauren Murphy	"60552 Brian Station Suite 470
Isaacberg, MO 96816"
2763	Indian	(Decimal('89.6116435'), Decimal('-48.862931'))	F	1995-08-25	B+	189-85-3778	Adult nurse	Dawn Hicks	"459 Evans Keys Apt. 363
Lake Jeanettetown, ID 78438"
2764	White	(Decimal('49.725856'), Decimal('145.722456'))	M	1917-04-18	B+	834-05-8521	Fashion designer	Mike Gordon	"472 Coleman Heights
New Jeannemouth, MN 13178"
2765	Indian	(Decimal('-18.470534'), Decimal('110.831267'))	M	1919/10/08	O-	660-96-3461	Geoscientist	James Thomas	"6074 Sheri Harbor Suite 987
Langport, RI 47352"
2766	Black	(Decimal('-89.8075385'), Decimal('21.771483'))	F	1957-04-30	AB+	290-45-4724	Pension scheme manager	Paula Frost	"59440 Jessica Underpass
New Kristin, ND 42949"
2767	White	(Decimal('-74.2684595'), Decimal('-96.117819'))	M	06/29/1930, 00:00:00	A+	297-99-0345	Secondary school teacher	William Allen	"PSC 4459, Box 1745
APO AP 38947"
2768	White	(Decimal('-41.9050525'), Decimal('164.747697'))	M	03 Jul 1983	AB-	215-08-0317	Human resources officer	Matthew Ruiz	"0996 Dean Forges
Alexismouth, VA 14270"
2769	Asian	(Decimal('-24.4663645'), Decimal('69.729321'))	M	07/21/2002, 00:00:00	A-	871-24-9451	Artist	Stephen Smith	"73552 Jacob Shoal
Smithland, SD 28450"
2770	Black	(Decimal('-80.024840'), Decimal('-144.885798'))	M	2002-09-07	AB+	606-61-3621	Health service manager	Brian Young	"698 April Walk
North Tina, TX 69910"
2771	Black	(Decimal('65.897336'), Decimal('82.300744'))	F	2016-08-29	A+	451-55-8445	Contractor	Leslie Price	"USCGC Mitchell
FPO AP 83863"
2772	White	(Decimal('5.9346895'), Decimal('122.395574'))	M	11/10/2011, 00:00:00	AB+	526-56-4054	Learning disability nurse	Tyler Gray	"431 Robert Court Suite 679
Port Traci, MI 01826"
2773	White	(Decimal('13.2759215'), Decimal('99.118668'))	M	1945/09/15	A+	027-35-8562	Teacher, English as a foreign language	Kent Pitts	"5825 Anthony Fork Suite 145
Thomasville, AK 64413"
2774	White	(Decimal('56.847117'), Decimal('-109.252709'))	M	1969/09/25	B+	153-52-4447	IT sales professional	Dustin Brennan	"496 Courtney Springs Apt. 158
Lake Kristashire, OR 95942"
2775	White	(Decimal('-87.087920'), Decimal('-107.182422'))	F	2015/10/07	AB+	860-68-2281	Planning and development surveyor	Jasmine Hill	"94295 Martinez Manor Apt. 322
Valdezfurt, MI 69077"
2776	White	(Decimal('6.5460845'), Decimal('97.174829'))	M	23 Nov 1996	O+	264-54-9801	Art therapist	Kevin Liu	"955 Amber Expressway Apt. 071
East Diana, KS 09940"
2777	black	(Decimal('-67.104989'), Decimal('-112.059054'))	M	02 Feb 1925	B+	336-44-1954	Geophysicist/field seismologist	Mr. Michael Martin	"389 Allison Rapids Suite 533
Ramseyfort, NM 76886"
2778	Indian	(Decimal('-51.8220605'), Decimal('-61.465808'))	M	2013-08-13	AB+	788-81-2818	Water engineer	Mr. Randy Sanchez	"228 Gray Mountains
Port Erinton, GA 74058"
2779	Indian	(Decimal('-32.804392'), Decimal('14.238488'))	M	11/19/2009, 00:00:00	A+	443-44-6227	Biochemist, clinical	William Gonzalez	"USNS Anthony
FPO AP 08563"
2780	black	(Decimal('-39.747967'), Decimal('143.009489'))	F	1962-11-14	O-	007-62-3594	Therapist, sports	Elizabeth Watson	"90616 Atkins Rue
Lake Paulaview, WI 77987"
2781	White	(Decimal('9.7171965'), Decimal('-123.286651'))	F	1976-04-27	A-	537-43-0915	Surveyor, planning and development	Ashley Baker	"8679 Melissa Corner Apt. 271
Martinezstad, WI 85345"
2782	White	(Decimal('43.314234'), Decimal('-49.050800'))	M	09 May 1927	B-	858-23-6331	Psychologist, occupational	John Lewis	"4197 Short Tunnel Apt. 797
North Claire, MT 75277"
2783	White	(Decimal('18.5895145'), Decimal('120.152157'))	F	2003/11/27	A+	205-25-7549	Television production assistant	Laurie Gardner	"42762 Clark Knolls
Guerrerohaven, CA 51479"
2784	White	(Decimal('-88.572436'), Decimal('-121.010716'))	M	26 Apr 1990	A-	206-95-0200	Air traffic controller	Kenneth Ramirez	"43101 Kristy Grove
South Travisland, TN 69133"
2785	Black	(Decimal('38.6269415'), Decimal('-36.404434'))	M	1926-06-08	AB-	789-03-3038	Haematologist	Christopher Wilkinson	"85326 Hodges Islands Suite 937
North Adam, KS 59113"
2786	Indian	(Decimal('22.0560435'), Decimal('-174.394477'))	M	07/14/1943, 00:00:00	AB-	243-19-9215	Pharmacist, community	Edward Tran	"212 Stark Tunnel Suite 794
East Laura, ID 55114"
2787	White	(Decimal('-72.5060075'), Decimal('-72.344435'))	F	1931/04/03	AB-	291-21-9625	Psychologist, clinical	Laura Fernandez	"56696 Lester Land
East Brian, PA 15596"
2788	Black	(Decimal('-81.6580815'), Decimal('-70.585065'))	M	27 Aug 1907	B-	859-40-0093	Forest/woodland manager	Douglas Palmer	"18661 Ann Walks Suite 521
New Sandra, DC 33616"
2789	Black	(Decimal('-54.3457575'), Decimal('115.382157'))	F	1982/08/20	A-	851-12-9635	Orthoptist	Nancy Tate	"930 Clayton Drive Suite 451
North Joel, FL 82015"
2790	White	(Decimal('-12.460546'), Decimal('61.604150'))	F	1943/10/13	A-	704-72-7073	Copy	Christine Kelley	"72666 Heidi Mills Suite 097
Michaelside, VA 20998"
2791	White	(Decimal('-38.7380705'), Decimal('73.699571'))	M	1908-01-27	B-	222-03-1999	Music tutor	John Murphy	"2946 Scott Station Suite 608
Kennethtown, OR 97488"
2792	Asian	(Decimal('-25.113199'), Decimal('-117.927233'))	M	1959/04/17	O+	423-95-3880	Designer, fashion/clothing	Bradley Mullins	"01812 Moore Points
West Jamestown, NE 30650"
2793	White	(Decimal('61.018458'), Decimal('20.769518'))	M	10/13/2009, 00:00:00	AB+	887-97-8162	Lobbyist	Jeff Jennings	"4787 Jennifer Expressway Suite 232
West Kelsey, CT 70147"
2794	White	(Decimal('-47.8109345'), Decimal('57.474382'))	F	04/29/1919, 00:00:00	O+	479-58-7844	Copywriter, advertising	Kristina Rodriguez	"5294 Mackenzie Fork Apt. 067
Hudsonland, PA 76058"
2795	white	(Decimal('-31.7264875'), Decimal('-76.324557'))	M	12 Nov 1970	O+	201-73-1920	Merchandiser, retail	Samuel Miller	"223 Bryant Lane Apt. 201
South Deborah, NE 62332"
2796	Black	(Decimal('-37.408348'), Decimal('68.833837'))	M	08/03/1934, 00:00:00	B+	549-44-9853	Librarian, public	Gary Taylor	"93782 Trevino Corners Suite 244
New Natalietown, CO 31800"
2797	White	(Decimal('71.073967'), Decimal('-158.549935'))	F	1948-03-05	B-	306-65-5532	Banker	Jessica Stuart	"15577 Garcia Avenue Suite 980
New Monica, GA 88714"
2798	White	(Decimal('-51.366301'), Decimal('-108.957835'))	M	1919/11/07	O-	094-09-4327	Astronomer	Seth Garcia	"03142 Gordon Square
Port Debrachester, ID 21295"
2799	White	(Decimal('-9.682596'), Decimal('4.932469'))	M	09/18/1922, 00:00:00	A-	484-48-9754	Tourist information centre manager	Daryl Fuller	"854 Joshua Parks
Port Jerry, PA 70012"
2800	White	(Decimal('-11.2377595'), Decimal('-142.279622'))	M	06 Nov 2016	O-	043-21-7680	Chartered certified accountant	Tracy Henry	"5713 Sean Drive
Justinchester, DE 29313"
2801	Black	(Decimal('-23.4600765'), Decimal('-53.149432'))	F	1942/05/29	A+	052-87-9687	Probation officer	Chelsea Lee	"363 Kathleen Freeway
Burkefort, DC 75736"
2802	Indian	(Decimal('5.5126045'), Decimal('-139.611957'))	M	18 Sep 2013	AB-	125-84-5651	Statistician	John Scott	"Unit 5147 Box 6928
DPO AA 55911"
2803	White	(Decimal('44.165327'), Decimal('154.170808'))	F	1930-02-03	AB+	796-73-7306	Horticulturist, amenity	Krista Butler	"271 Shane Parkways
Hillburgh, VA 02434"
2804	Black	(Decimal('51.4144135'), Decimal('94.466323'))	F	08 Jan 1936	B-	005-72-7328	Patent examiner	Sheila Kim	"39810 Ramirez Drives Suite 652
Lake Hannahborough, GA 03382"
2805	White	(Decimal('-65.638215'), Decimal('128.458837'))	M	02/22/1952, 00:00:00	B-	371-83-4330	Insurance account manager	Mark Jordan	"25623 Renee Shores Apt. 215
Lake Josemouth, TN 47438"
2806	Black	(Decimal('-3.523449'), Decimal('-31.712102'))	F	1988/05/03	AB+	598-82-1539	Psychologist, occupational	Kristi Caldwell	"USS Huffman
FPO AA 26121"
2807	Black	(Decimal('48.3679325'), Decimal('20.609882'))	F	04/29/1996, 00:00:00	B-	266-37-8642	Economist	Heather Price	"92068 Dale Wells Apt. 581
Taylorbury, FL 78066"
2808	Asian	(Decimal('70.9777875'), Decimal('18.683836'))	M	2000/12/22	B-	523-32-1290	Further education lecturer	Gary Sosa	"5573 Stone Summit Suite 334
West David, IA 47596"
2809	White	(Decimal('-44.3215175'), Decimal('-88.637265'))	M	1922-12-11	AB+	536-42-6538	Operations geologist	Kyle Booth	"478 Jeffrey Island Apt. 237
South Derek, MA 96334"
